#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
54.518	439	54.543	487
54.569	444	54.595	488
54.619	449	54.645	488
54.670	455	54.696	487
54.721	460	54.746	487
54.772	464	54.797	488
54.822	468	54.848	487
54.873	471	54.899	488
54.923	473	54.949	488
54.975	473	55.000	488
55.025	473	55.050	487
55.076	472	55.102	488
55.126	469	55.152	487
55.177	466	55.203	487
55.227	462	55.253	488
55.279	457	55.304	487
55.329	452	55.354	487
55.380	447	55.406	488
55.430	442	55.456	488
55.481	438	55.507	488
55.532	434	55.557	487
55.583	431	55.608	488
55.633	429	55.659	487
55.684	428	55.710	488
55.734	429	55.760	487
55.786	430	55.811	488
55.836	433	55.861	488
55.887	437	55.913	488
55.937	441	55.963	487
55.988	445	56.014	487
56.038	449	56.064	487
56.090	455	56.115	488
56.140	459	56.165	488
56.191	464	56.217	487
56.241	467	56.267	488
56.292	470	56.318	488
56.344	472	56.368	488
56.394	472	56.419	487
56.445	472	56.470	488
56.495	470	56.521	488
56.546	468	56.571	488
56.597	464	56.622	487
56.648	461	56.672	488
56.698	456	56.724	488
56.749	451	56.774	487
56.799	447	56.825	488
56.851	442	56.875	488
56.901	438	56.926	488
56.952	435	56.976	487
57.002	433	57.028	488
57.053	431	57.078	487
57.103	430	57.129	488
